COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
AAPA,2387,3281,694,578,348,2757,0.7758454106,2.4,0.139,0.54
AAPA,2335,3184,697,586,368,2836,0.7702871411,2.42,0.146,0.57
AAPA,2236,3214,709,586,365,2239,0.7196620584,2.11,0.129,0.33
AAPA,2117,3102,699,582,367,1904,0.6767943637,2.26,0.132,0.34
AAPA,2087,2999,688,567,364,2555,0.7505995204,2.54,0.132,0.44
AAPA,2066,3381,693,556,356,2117,0.7120905782,2.51,0.15,0.35
AAPA,2022,3377,699,572,364,2022,0.6948868399,2.17,0.119,0.22
AAPA,1685,3236,763,700,564,2247,0.598719317,2.33,0.13,0.57
AAPA,1450,3127,697,587,371,2643,0.7538155275,2.56,0.151,0.53
AAPA,1412,3017,690,574,355,2408,0.7430329352,2.32,0.141,0.46
AAPA,1404,2726,695,571,359,2306,0.7305816135,2.23,0.117,0.44
AAPA,1361,3152,706,584,408,1969,0.6567101388,2.17,0.104,0.48
AAPA,1327,2814,689,579,358,2399,0.7402974247,2.43,0.129,0.45
AAPA,1123,2816,697,577,367,2113,0.7040322581,2.39,0.117,0.55
AAPA,1037,2419,679,529,331,2347,0.7528005975,2.46,0.141,0.54
AAPA,1030,2798,690,554,351,2208,0.7256740914,2.32,0.129,0.47
AAPA,821,2929,683,578,350,2379,0.743495786,2.36,0.141,0.83
AAPA,796,2597,684,557,342,2326,0.7436281859,2.29,0.101,0.58
AAPA,730,2685,708,575,366,2186,0.7131661442,2.58,0.145,0.5
GBSM,530,372,240,426,300,3636,0.8761609907,2.65,0.15,1.09
GBSM,529,353,290,457,306,3246,0.8359728507,2.32,0.15,1.26
GBSM,528,354,481,563,410,2978,0.7218849378,2.36,0.14,0.97
GBSM,528,372,239,409,283,3474,0.8712631295,2.45,0.15,0.96
GBSM,526,195,317,543,304,3004,0.8090936465,2.14,0.16,0.81
GBSM,525,194,314,545,314,3031,0.8122571001,2.08,0.16,1.21
GBSM,521,322,212,361,275,2699,0.8543455857,2.71,0.14,0.51
GBSM,520,324,236,409,290,3115,0.8591465234,2.73,0.16,0.84
GBSM,517,221,256,432,296,3350,0.8580144204,2.25,0.16,1.14
GBSM,516,220,255,432,290,3281,0.8557692308,2.42,0.17,1.19
GBSM,514,341,261,427,280,3324,0.8543933054,2.46,0.16,1.02
GBSM,512,341,270,431,282,3369,0.8516075845,2.38,0.16,0.75
GBSM,504,307,264,456,298,3313,0.8523902712,2.55,0.15,0.79
GBSM,502,308,257,444,292,3382,0.8587524045,2.13,0.14,1.10
GBSM,504,189,293,495,300,2982,0.8210687023,2.24,0.16,1.08
GBSM,503,189,297,501,305,3093,0.8247787611,1.91,0.14,1.15
GBSM,493,369,238,397,277,3352,0.8674094707,2.29,0.15,1.07
GBSM,491,434,257,442,300,3494,0.8629698747,2.37,0.16,0.92
GBSM,491,369,234,396,273,3337,0.8689442733,2.18,0.15,1.31
GBSM,491,435,264,454,299,3456,0.8580645161,2.11,0.15,1.09
GBSM,489,277,241,422,285,3598,0.8744464704,2.25,0.15,0.92
GBSM,488,242,248,440,290,3239,0.8577573846,2.06,0.14,0.90
GBSM,487,276,230,406,288,3436,0.8745226405,1.97,0.15,0.98
GBSM,488,215,261,429,305,3281,0.8526256352,2.05,0.16,1.21
GBSM,487,243,246,436,289,3336,0.8626465662,2.38,0.16,0.97
GBSM,486,215,281,453,308,3273,0.8418683174,2.36,0.16,1.34
GBSM,486,194,279,450,302,3247,0.8417470221,2.24,0.16,1.15
GBSM,483,195,308,447,299,2953,0.8111008893,2.14,0.16,1.38
GBSM,475,334,240,408,292,3287,0.8639070031,2.33,0.15,1.29
GBSM,474,363,240,407,274,3369,0.8669991687,3.18,0.15,0.65
GBSM,474,334,240,406,294,3298,0.86433013,2.59,0.16,0.93
GBSM,472,363,240,411,282,3372,0.8671096345,3.02,0.16,0.80
GBSM,471,235,249,414,279,2978,0.8456770995,2.29,0.16,0.85
GBSM,469,235,250,408,289,3039,0.8479781088,2.40,0.17,0.89
GBSM,466,195,246,416,299,3389,0.8646492435,2.80,0.16,0.77
GBSM,465,386,310,532,303,3153,0.8209644817,2.75,0.15,0.60
GBSM,465,195,243,413,294,3336,0.8642078793,2.48,0.15,0.69
GBSM,464,386,314,529,302,3068,0.8143110585,2.47,0.16,0.59
GBSM,453,324,230,407,289,3361,0.8719019772,2.47,0.15,0.52
GBSM,452,322,239,418,287,3308,0.8652382295,2.51,0.13,0.70
GBSM,451,296,244,428,296,3308,0.8626126126,2.82,0.15,0.71
GBSM,449,296,251,432,285,3329,0.8597765363,2.48,0.16,0.48
GBSM,445,287,269,475,307,3262,0.8476352308,2.83,0.14,0.69
