COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
GBSM,307,617,297,504,309,3485,0.8429402433,2.71,0.18,1.05
GBSM,305,653,278,485,302,3372,0.8476712329,3.42,0.16,0.77
GBSM,293,448,259,440,303,3681,0.8685279188,2.87,0.16,1.36
GBSM,292,447,265,440,306,3907,0.8729626079,2.59,0.15,1.51
GBSM,285,643,304,503,312,3343,0.8332876337,2.90,0.17,0.58
GBSM,285,670,271,488,280,3143,0.8412419449,2.39,0.16,1.08
GBSM,270,430,269,485,318,3361,0.8517906336,2.87,0.17,0.98
GBSM,270,293,342,523,317,3031,0.7972131634,1.70,0.14,0.96
GBSM,270,399,258,417,287,3222,0.8517241379,2.83,0.19,1.11
GBSM,269,365,253,432,295,3443,0.8630952381,2.45,0.17,0.97
GBSM,269,430,294,517,326,3546,0.846875,2.79,0.17,0.88
GBSM,269,293,331,509,316,3033,0.8032104637,2.33,0.15,0.88
GBSM,268,399,264,435,292,3292,0.8515185602,2.41,0.18,0.95
GBSM,267,365,244,410,284,3331,0.8634965035,2.47,0.16,1.02
GBSM,267,217,259,458,293,3319,0.8552263835,2.45,0.17,1.02
GBSM,267,332,269,470,299,3269,0.8479366874,2.20,0.16,1.15
GBSM,266,250,247,426,288,3267,0.859419465,2.52,0.16,1.16
GBSM,265,217,253,450,297,3334,0.8589350432,2.14,0.15,1.00
GBSM,265,332,269,463,294,3296,0.849088359,2.51,0.16,1.18
GBSM,265,254,230,418,282,3304,0.86983588,2.53,0.16,0.98
GBSM,256,316,258,434,285,3302,0.8550561798,2.23,0.15,0.88
GBSM,254,316,260,423,292,3341,0.8555956679,2.19,0.16,1.08
GBSM,253,343,235,405,290,3263,0.8656375071,2.53,0.17,1.07
GBSM,251,344,244,411,290,3254,0.8604917095,2.30,0.15,0.92
GBSM,250,427,259,429,297,3162,0.8485822859,2.64,0.16,0.86
GBSM,248,426,251,443,296,3261,0.8570615034,2.42,0.16,0.82
GBSM,246,214,264,431,294,2936,0.835,2.17,0.15,1.14
GBSM,246,212,266,469,300,2982,0.8362068965,2.32,0.17,1.16
GBSM,238,392,255,433,301,3846,0.8756400878,2.92,0.19,0.98
GBSM,238,198,290,457,302,3223,0.8348989468,2.08,0.15,0.88
GBSM,237,392,259,435,304,3856,0.8741190765,2.69,0.18,1.05
GBSM,237,409,247,435,287,3608,0.8718547341,2.58,0.17,0.77
GBSM,237,198,282,446,300,3266,0.8410372041,2.16,0.15,0.88
GBSM,236,299,250,427,294,3593,0.8698933125,2.46,0.18,1.13
GBSM,234,299,240,404,297,3618,0.8755832037,2.22,0.16,1.24
GBSM,227,192,361,451,340,2641,0.7594936709,2.54,0.18,0.90
GBSM,226,192,423,477,351,2687,0.7279742765,2.32,0.15,1.08
GBSM,219,239,281,507,313,3234,0.840113798,3.54,0.17,0.84
GBSM,218,240,261,480,291,3225,0.8502581756,3.33,0.18,0.68
GBSM,217,330,241,404,287,3273,0.8628343768,2.47,0.15,1.26
GBSM,216,330,245,405,290,3248,0.8597194389,2.89,0.15,0.68
GBSM,216,221,300,516,302,3246,0.8307952623,3.09,0.18,1.10
GBSM,214,221,294,497,298,3136,0.8285714286,2.40,0.17,1.16
GBSM,212,127,253,406,293,3182,0.8526928675,2.63,0.16,1.36
GBSM,211,347,267,446,288,3001,0.8365973072,2.69,0.17,1.06
GBSM,211,126,247,406,286,3133,0.8538461538,2.32,0.15,1.09
GBSM,209,347,261,447,291,3057,0.842676311,2.38,0.17,1.13
GBSM,208,177,263,426,301,3149,0.8458382181,1.90,0.15,1.31
GBSM,206,177,256,414,295,3145,0.8494560423,2.00,0.13,0.63
GBSM,206,200,270,429,284,2810,0.8246753247,2.42,0.15,1.06
GBSM,205,24,280,455,295,3011,0.8298389547,2.07,0.14,1.13
GBSM,204,200,271,433,289,2827,0.8250484183,2.53,0.15,1.25
GBSM,204,50,235,379,287,3010,0.8551617874,2.41,0.15,1.57
GBSM,204,24,275,444,298,2969,0.8304562269,2.27,0.15,1.25
GBSM,203,154,246,418,289,3091,0.8525621816,2.00,0.14,0.97
GBSM,202,50,246,407,289,2975,0.8472524061,2.30,0.16,0.76
GBSM,201,294,243,418,292,3442,0.8681139756,2.38,0.14,1.25
GBSM,201,330,276,475,293,3192,0.8408304498,2.65,0.16,0.84
GBSM,200,332,283,495,298,3288,0.8415009801,2.91,0.14,0.72
GBSM,200,294,245,416,292,3379,0.864790287,2.46,0.14,1.11
GBSM,195,177,248,405,291,3175,0.8550978674,1.96,0.14,0.72
GBSM,194,177,251,411,293,3147,0.8522660388,2.50,0.14,0.70
GBSM,188,89,252,429,305,3188,0.8534883721,2.43,0.17,0.99
GBSM,187,89,252,433,303,3161,0.852329329,2.22,0.16,1.29
GBSM,187,340,243,453,288,3413,0.8670678337,2.28,0.18,1.14
GBSM,187,313,283,495,294,3307,0.8423398329,2.50,0.18,0.97
GBSM,186,31,275,468,309,2919,0.827802129,2.25,0.16,1.30
GBSM,186,207,311,527,293,2812,0.8008325328,2.61,0.17,1.18
GBSM,186,50,256,445,297,3096,0.8472553699,2.38,0.15,1.04
GBSM,185,52,246,439,293,3219,0.858008658,2.27,0.16,1.08
GBSM,185,313,280,494,299,3401,0.8478674273,2.23,0.17,0.92
GBSM,185,31,284,479,303,2845,0.8184723554,2.32,0.15,1.32
GBSM,184,207,317,545,297,2914,0.8037759208,2.66,0.15,1.36
GBSM,184,282,282,511,300,3474,0.8498402556,3.21,0.18,0.81
GBSM,184,154,244,443,290,3236,0.8597701149,2.57,0.16,1.16
GBSM,183,243,260,451,285,3498,0.8616285258,2.53,0.19,1.15
GBSM,183,282,288,512,303,3529,0.8490961488,2.46,0.16,1.14
GBSM,182,241,257,447,290,3364,0.8580502624,2.57,0.17,1.11
GBSM,182,154,247,443,290,3172,0.855513308,2.22,0.12,0.77
GBSM,182,179,268,461,301,3143,0.842861331,2.68,0.14,1.24
GBSM,181,179,278,464,307,3104,0.8356002365,2.64,0.15,1.15
GBSM,179,195,279,489,300,3376,0.8473324213,2.28,0.16,1.07
GBSM,179,132,234,425,279,3319,0.8682803265,2.59,0.17,1.32
GBSM,178,195,269,488,293,3270,0.8479796553,2.72,0.16,1.05
GBSM,178,132,237,411,282,3311,0.8664036077,2.36,0.15,1.26
GBSM,176,36,337,546,317,2807,0.7856234097,3.16,0.17,0.62
GBSM,175,38,303,516,312,2899,0.8107432854,2.41,0.16,0.93
GBSM,169,323,296,531,296,3115,0.8264438581,2.89,0.16,0.74
GBSM,169,291,283,515,297,3263,0.8403835307,3.35,0.18,0.65
GBSM,168,325,311,534,290,3218,0.8237461037,2.90,0.16,0.90
GBSM,168,346,271,496,299,3548,0.8580780309,2.89,0.16,0.77
GBSM,167,291,263,468,286,3241,0.8498858447,2.46,0.16,0.75
GBSM,163,395,260,410,310,3306,0.8541783511,2.44,0.13,1.02
GBSM,163,183,295,474,307,3071,0.8247177659,2.38,0.16,1.02
GBSM,163,200,288,516,296,3008,0.8252427184,2.74,0.16,0.65
GBSM,163,127,256,448,286,3131,0.8488337762,2.65,0.16,0.96
GBSM,162,363,278,463,301,3634,0.8578732106,2.36,0.18,0.72
GBSM,162,183,301,479,309,3095,0.8227326266,2.42,0.17,1.04
GBSM,161,200,302,516,296,2984,0.8161898965,3.13,0.17,0.64
GBSM,161,57,280,451,290,3079,0.8332837154,2.57,0.16,1.32
GBSM,161,127,260,459,295,3224,0.8507462687,2.35,0.16,0.75
GBSM,160,56,285,456,293,3063,0.8297491039,2.39,0.16,1.29
GBSM,159,102,289,444,312,3013,0.824954573,2.72,0.17,1.01
GBSM,158,38,306,483,313,2887,0.8083307235,3.17,0.18,1.04
GBSM,158,215,236,417,287,3261,0.8650271661,2.43,0.17,0.99
GBSM,158,313,319,542,313,2984,0.8068422646,2.51,0.16,0.67
GBSM,158,82,263,435,294,3058,0.8416139717,2.62,0.15,1.02
GBSM,157,102,284,442,306,2974,0.8256599141,2.45,0.15,1.24
GBSM,157,216,245,438,288,3281,0.8610323313,2.61,0.18,1.05
GBSM,157,38,303,475,313,2789,0.8040103493,2.41,0.16,0.99
GBSM,157,313,319,549,315,3023,0.8090963495,2.90,0.16,0.46
GBSM,156,82,265,430,296,3039,0.8395883777,2.74,0.15,0.53
GBSM,151,285,260,468,294,3048,0.8428053204,2.01,0.16,1.02
GBSM,151,286,260,481,300,3116,0.845971564,2.36,0.17,0.74
GBSM,148,126,277,461,302,2935,0.8275217933,2.39,0.16,1.03
GBSM,148,342,238,400,275,3125,0.8584597086,2.45,0.17,0.95
GBSM,147,251,316,558,312,3064,0.8130177515,2.78,0.16,0.62
GBSM,147,126,281,457,302,2817,0.8185926404,2.17,0.17,0.70
GBSM,147,342,239,403,273,3110,0.8572708271,2.31,0.17,0.63
GBSM,146,251,315,549,312,3016,0.8108676073,3.46,0.16,0.54
GBSM,143,68,280,427,293,3011,0.8298389547,2.14,0.15,1.21
GBSM,142,302,246,432,279,3273,0.8601875533,2.44,0.17,0.82
GBSM,142,68,285,431,292,2982,0.8255280073,2.30,0.16,0.96
GBSM,140,302,244,424,273,3197,0.8581807614,2.62,0.18,0.93
GBSM,138,96,283,490,305,2909,0.8226817043,2.84,0.16,1.14
GBSM,138,197,243,414,291,3459,0.868719611,2.41,0.16,0.79
GBSM,137,171,252,419,275,2986,0.8443483632,2.92,0.18,1.01
GBSM,137,96,285,483,309,2852,0.8182977367,2.35,0.16,1.24
GBSM,136,171,253,421,284,2989,0.843923504,2.62,0.18,0.95
GBSM,136,196,232,380,276,3164,0.863368669,2.53,0.18,0.74
GBSM,131,226,229,411,287,3235,0.8677829099,2.37,0.17,0.96
GBSM,131,47,237,399,287,3078,0.8570135747,2.49,0.16,1.00
GBSM,130,157,272,458,313,3144,0.8407494145,2.63,0.17,0.98
GBSM,130,226,224,404,283,3246,0.8708933718,2.71,0.18,0.71
GBSM,130,46,233,413,276,3114,0.8607708396,2.66,0.17,1.09
GBSM,129,123,329,542,309,2821,0.7911111111,2.34,0.18,0.79
GBSM,129,83,325,552,306,3112,0.8108815828,3.66,0.17,0.83
GBSM,129,157,275,458,310,3161,0.8399301513,3.30,0.18,0.89
GBSM,128,123,317,532,309,2849,0.7997473152,2.74,0.17,1.29
GBSM,128,83,320,552,306,3128,0.8143851508,3.30,0.17,0.91
GBSM,127,197,253,390,281,2904,0.8397212544,2.60,0.20,0.78
GBSM,127,32,256,444,293,3085,0.8467524693,2.10,0.16,1.10
GBSM,127,196,266,418,298,2964,0.8352941176,2.71,0.21,0.89
GBSM,126,32,253,440,289,3126,0.8502515537,2.62,0.18,1.22
GBSM,121,295,238,425,279,3268,0.8642327439,2.55,0.18,1.19
GBSM,120,296,247,419,290,3240,0.8583309435,2.19,0.16,1.06
GBSM,120,386,255,422,299,3509,0.8645058448,2.53,0.16,1.35
GBSM,119,245,238,423,281,3062,0.8557575758,2.42,0.17,0.77
GBSM,119,317,254,434,302,3711,0.8718789407,2.38,0.15,1.17
GBSM,119,415,248,402,291,3423,0.8648869518,2.29,0.14,1.51
GBSM,118,386,285,452,300,3542,0.8510582702,2.66,0.16,1.24
GBSM,118,318,244,426,283,3707,0.8764869653,2.07,0.16,1.04
GBSM,118,246,232,424,274,3129,0.8619458494,2.65,0.17,0.71
GBSM,118,415,249,405,294,3483,0.8665594855,2.54,0.15,1.28
GBSM,117,434,245,422,291,3770,0.8779576588,2.46,0.15,0.98
GBSM,115,434,252,424,294,3798,0.8755555556,2.42,0.15,1.03
GBSM,114,377,249,404,283,3246,0.8575107296,2.40,0.14,1.18
GBSM,113,172,249,409,280,2990,0.8462488422,2.66,0.18,1.09
GBSM,113,377,229,382,276,3037,0.8597672994,2.41,0.14,1.29
GBSM,113,203,239,415,274,3062,0.8551953953,2.06,0.18,0.88
GBSM,112,202,251,430,286,3164,0.8530014641,2.21,0.18,1.01
GBSM,112,172,251,422,283,3009,0.8460122699,1.98,0.14,0.83
GBSM,111,151,237,386,283,3063,0.8563636364,2.58,0.17,0.95
GBSM,110,152,239,397,281,3178,0.8601112087,2.71,0.18,0.78
GBSM,110,101,283,466,292,3059,0.8306403351,3.62,0.16,0.93
GBSM,108,65,266,460,287,2805,0.8267665256,3.45,0.17,0.91
GBSM,106,63,310,485,298,2608,0.7875257025,3.18,0.17,1.06
GBSM,105,372,226,374,283,2951,0.8577274158,2.25,0.13,1.43
GBSM,105,304,227,401,272,3252,0.8695027307,2.19,0.18,1.28
GBSM,105,372,226,374,283,2951,0.8577274158,2.42,0.13,1.04
GBSM,103,305,241,413,273,3334,0.8651748252,2.74,0.16,1.06
GBSM,102,424,233,403,278,3126,0.8612682346,2.38,0.14,0.94
GBSM,101,52,295,491,308,2716,0.80405181,2.20,0.17,1.14
GBSM,101,350,253,395,283,2858,0.837351334,2.48,0.14,1.30
GBSM,101,128,249,418,290,3210,0.8560277537,2.67,0.17,0.74
GBSM,101,55,278,452,300,2805,0.819656179,2.49,0.17,1.01
GBSM,100,424,220,380,274,2874,0.8577892696,2.38,0.15,1.09
GBSM,100,349,253,393,287,3072,0.8478195489,2.16,0.13,1.44
GBSM,100,127,249,420,289,3275,0.8586833144,2.39,0.16,1.07
GBSM,99,235,227,393,282,3068,0.862215478,2.69,0.14,0.87
GBSM,98,234,236,409,284,3114,0.8591044776,2.48,0.14,0.74
GBSM,96,414,139,237,229,1253,0.8002873563,2.40,0.14,1.02
GBSM,94,427,215,356,257,2747,0.854827819,2.19,0.13,0.68
GBSM,94,414,131,242,213,1115,0.7897271268,2.20,0.14,0.77
GBSM,93,427,203,347,255,2601,0.8552068474,2.34,0.14,0.97
GBSM,90,201,236,412,269,3074,0.8574018127,2.63,0.18,1.13
GBSM,89,164,284,466,294,3116,0.8329411765,2.68,0.18,1.05
GBSM,88,201,229,401,274,3078,0.8615058966,2.13,0.16,0.93
GBSM,88,374,200,340,255,2567,0.8554391037,2.53,0.14,1.01
GBSM,87,164,277,453,297,3060,0.8339826191,2.23,0.16,0.98
GBSM,86,374,172,300,233,1900,0.833976834,2.23,0.14,1.23
GBSM,84,272,235,408,275,3680,0.8799489144,2.11,0.14,1.38
GBSM,83,63,270,430,287,2881,0.8286258331,2.24,0.16,1.44
GBSM,83,319,227,399,285,3696,0.8842722406,2.39,0.16,1.02
GBSM,83,321,240,406,284,3563,0.8737838548,2.43,0.16,1.19
GBSM,82,272,246,410,289,3506,0.868869936,2.69,0.17,0.98
GBSM,82,394,161,269,234,1857,0.8404360753,2.50,0.15,1.38
GBSM,81,427,152,282,226,1892,0.8512720157,2.37,0.15,1.08
GBSM,80,394,156,269,248,1826,0.8425832492,2.92,0.17,1.30
GBSM,80,63,273,437,289,2911,0.8285175879,2.49,0.19,1.25
GBSM,80,426,141,265,219,1716,0.8481421648,2.39,0.15,1.08
GBSM,79,179,264,447,298,3169,0.8461986601,2.47,0.17,1.00
GBSM,78,179,258,444,286,3189,0.8503046127,2.66,0.17,1.03
GBSM,76,226,214,389,277,3276,0.8773638968,2.35,0.17,1.14
GBSM,76,341,233,383,283,3090,0.8597652723,2.41,0.16,1.72
GBSM,75,197,232,395,267,3221,0.865624095,2.37,0.16,1.34
GBSM,74,224,219,384,270,3214,0.8724147976,2.46,0.16,0.89
GBSM,74,197,230,403,267,3271,0.8686089689,2.09,0.18,1.06
GBSM,73,87,223,385,288,3087,0.8652567976,2.28,0.16,1.30
GBSM,72,37,279,496,298,3280,0.8432143861,2.33,0.17,1.25
GBSM,72,35,272,479,291,3083,0.8378539493,2.40,0.18,0.97
GBSM,72,87,228,397,287,3171,0.865842895,2.59,0.17,1.39
GBSM,71,136,233,387,276,3091,0.8598074609,2.25,0.15,0.95
GBSM,71,137,237,397,284,3262,0.8645327236,2.11,0.15,1.14
GBSM,69,27,307,511,304,3111,0.8203627853,2.38,0.17,1.08
GBSM,67,406,110,210,200,901,0.7823936696,2.81,0.17,0.98
GBSM,65,406,110,210,200,979,0.797979798,2.45,0.16,1.31
GBSM,65,27,660,671,434,3167,0.6550823099,2.55,0.18,0.95
GBSM,63,383,238,390,298,3386,0.8686534216,2.65,0.17,0.99
GBSM,61,159,277,470,297,3174,0.8394668212,2.31,0.16,1.22
GBSM,61,158,292,494,299,3191,0.8323284525,2.18,0.16,1.17
GBSM,61,294,221,395,284,3205,0.8709865733,2.62,0.16,1.33
GBSM,60,296,240,392,289,3065,0.8547655068,2.61,0.17,1.50
GBSM,59,218,218,383,281,3137,0.8700447094,2.66,0.17,1.03
GBSM,59,205,212,384,272,3091,0.8716318498,2.88,0.18,0.88
GBSM,59,217,225,376,281,3141,0.8663101604,2.70,0.17,1.12
GBSM,59,247,243,412,283,3366,0.8653366584,2.61,0.16,1.27
GBSM,58,204,210,384,273,3113,0.8736081854,2.57,0.16,0.85
GBSM,57,247,237,399,276,3359,0.8681868743,2.82,0.16,1.26
GBSM,54,180,281,491,298,2967,0.8269704433,2.86,0.16,0.79
GBSM,54,334,248,392,285,2932,0.8440251572,2.34,0.13,1.19
GBSM,54,333,255,404,288,2940,0.8403755869,2.30,0.12,1.28
GBSM,53,134,222,383,261,3011,0.8626662543,2.19,0.15,1.06
GBSM,53,180,270,486,290,2908,0.8300818125,2.41,0.14,0.75
GBSM,53,70,234,386,274,3261,0.8660944206,2.48,0.16,1.05
GBSM,52,69,231,386,277,3146,0.8631921824,2.44,0.16,0.91
GBSM,52,370,256,409,296,3284,0.8553672316,2.50,0.14,1.13
GBSM,52,134,224,389,267,3052,0.8632478632,2.22,0.15,0.96
GBSM,52,93,271,424,291,3078,0.838160645,1.84,0.14,0.86
GBSM,50,370,259,405,285,3302,0.8545352429,2.47,0.14,1.16
GBSM,50,93,272,437,302,3115,0.8393858872,2.36,0.16,1.08
GBSM,49,44,235,397,281,3163,0.8616833431,2.27,0.14,1.13
GBSM,47,44,234,392,281,3117,0.860340197,2.37,0.15,0.93
GBSM,47,222,225,393,277,3221,0.8694138131,2.19,0.14,1.22
GBSM,45,222,227,383,274,2982,0.8585229043,2.32,0.14,0.89
GBSM,44,317,225,385,264,3161,0.8670998228,2.66,0.18,0.96
GBSM,44,294,228,391,274,3071,0.8617762958,2.60,0.15,0.84
GBSM,43,318,228,387,266,3169,0.8657639093,2.24,0.17,0.91
GBSM,43,295,222,383,281,3064,0.8648813147,2.63,0.17,0.93
GBSM,36,206,228,401,282,3212,0.8674418605,2.66,0.16,0.93
GBSM,36,207,231,407,283,3303,0.8692699491,2.65,0.17,1.04
GBSM,33,178,290,510,302,3090,0.8284023669,2.24,0.15,0.81
GBSM,33,313,250,438,283,3117,0.8514998515,2.52,0.18,0.82
GBSM,32,178,289,508,299,3056,0.8272047833,2.70,0.14,0.85
GBSM,31,313,254,448,287,3152,0.8508514386,2.56,0.16,0.84
GBSM,31,164,246,434,285,3295,0.8610561988,2.16,0.14,1.20
GBSM,30,350,246,409,285,3207,0.8575152042,2.81,0.18,1.46
GBSM,30,70,235,408,281,3279,0.8662492886,2.66,0.16,1.06
GBSM,30,369,254,416,297,3408,0.8612779902,2.74,0.17,1.26
GBSM,29,137,302,535,315,3050,0.8198090692,2.46,0.17,1.29
GBSM,29,70,239,420,280,3334,0.8662188637,2.55,0.16,0.99
GBSM,28,369,244,389,277,3431,0.8672108844,2.50,0.18,1.29
GBSM,28,164,249,421,281,2965,0.8450528936,2.30,0.15,1.04
GBSM,28,139,286,499,301,2942,0.8228004957,2.31,0.18,0.68
GBSM,26,202,231,397,278,3320,0.869895804,2.90,0.18,1.20
GBSM,26,271,218,377,268,3080,0.8677986659,2.60,0.17,1.16
GBSM,25,202,233,402,287,3343,0.8696868009,2.53,0.17,1.06
GBSM,23,271,236,410,284,3058,0.8567091682,2.70,0.17,1.14
GBSM,21,56,244,391,280,3148,0.8561320755,2.50,0.16,0.85
GBSM,20,56,245,395,281,3050,0.8512898331,2.10,0.16,0.76
GBSM,19,108,242,439,294,3191,0.8590154384,3.14,0.17,1.01
GBSM,17,40,222,375,281,3094,0.8661037394,2.37,0.16,1.03
GBSM,17,42,233,378,298,3331,0.8692480359,2.47,0.17,1.24
GBSM,276,635,281,455,306,2936,0.8253030774,2.39,0.16,1.09
GBSM,272,455,267,431,294,3586,0.8614066961,2.33,0.17,0.98
GBSM,270,454,249,423,290,3532,0.8682888125,2.61,0.17,0.86
GBSM,262,658,308,480,312,2823,0.8032577451,2.69,0.17,0.57
GBSM,259,676,304,469,321,2848,0.807106599,2.34,0.15,0.96
GBSM,244,453,249,408,288,3537,0.8684627575,2.69,0.17,1.10
GBSM,243,453,249,416,286,3452,0.8654417725,2.73,0.15,1.26
GBSM,174,632,290,521,302,3331,0.8398232532,2.36,0.15,0.70
GBSM,173,631,281,504,295,3287,0.8424887892,1.84,0.13,0.56
GBSM,172,553,260,469,298,3734,0.8698047071,2.74,0.17,0.69
GBSM,171,553,259,455,296,3735,0.8703054582,2.76,0.17,1.21
GBSM,169,453,264,435,310,3419,0.8566386098,2.54,0.14,0.62
GBSM,158,601,239,429,293,3592,0.8752283999,2.59,0.16,1.02
GBSM,156,601,235,417,283,3406,0.8709145839,2.42,0.16,1.09
GBSM,156,537,234,405,279,3608,0.8781884435,2.74,0.17,0.87
GBSM,155,577,231,425,281,3520,0.8768328446,2.61,0.15,0.62
GBSM,155,538,232,402,270,3562,0.8777016342,2.83,0.15,0.69
GBSM,153,577,231,433,286,3597,0.8793103448,2.59,0.16,0.58
GBSM,152,681,238,425,283,3328,0.866517106,2.46,0.16,0.91
GBSM,147,443,652,815,691,3649,0.6968146943,2.35,0.14,1.00
GBSM,140,442,507,659,544,3649,0.7560153994,2.54,0.17,0.73
GBSM,140,623,233,419,286,3743,0.8827967807,2.45,0.15,0.45
GBSM,139,549,234,412,289,3536,0.875862069,2.15,0.13,0.61
GBSM,138,623,237,427,286,3681,0.8790199081,2.58,0.15,1.20
GBSM,137,550,230,406,286,3730,0.8838383838,1.81,0.12,0.48
GBSM,123,672,306,521,309,3340,0.8321448162,3.05,0.19,1.25
GBSM,120,599,333,566,318,3055,0.8034238489,2.99,0.14,0.86
GBSM,118,537,236,400,271,3213,0.8631487388,2.35,0.16,1.08
GBSM,118,599,322,554,306,3023,0.8074738416,3.33,0.14,0.59
GBSM,118,538,229,399,281,3263,0.8688430699,2.48,0.16,0.82
GBSM,111,558,215,395,278,3356,0.8795855503,2.36,0.15,1.11
GBSM,110,558,219,392,280,3369,0.8779264214,2.81,0.17,0.93
GBSM,105,660,268,461,295,3316,0.8504464286,2.73,0.16,1.17
GBSM,105,662,277,479,289,3220,0.8415784959,3.69,0.18,0.82
GBSM,104,638,308,476,299,3001,0.8138410396,2.51,0.12,1.13
GBSM,103,638,322,492,303,2890,0.799501868,2.75,0.16,1.10
GBSM,98,536,272,445,296,3089,0.8381434097,2.21,0.14,0.58
GBSM,97,534,253,426,295,3124,0.8501628664,2.37,0.16,0.58
GBSM,95,588,324,568,305,3165,0.8142734308,3.67,0.14,0.48
GBSM,93,588,294,532,299,3221,0.8327169275,3.56,0.16,0.80
GBSM,84,438,186,327,250,2535,0.8632855568,2.22,0.14,1.09
GBSM,82,452,286,479,313,3765,0.8588002962,2.16,0.15,1.30
GBSM,81,453,281,461,312,3957,0.8673902784,2.88,0.17,0.68
GBSM,70,541,226,396,277,3319,0.8724964739,2.83,0.18,1.21
GBSM,68,541,234,410,272,3390,0.8708609271,2.87,0.18,1.17
GBSM,65,461,266,441,307,3708,0.866129844,2.56,0.17,0.91
GBSM,64,461,265,434,308,3686,0.8658567451,2.31,0.15,1.04
GBSM,64,444,251,414,296,3253,0.8567351598,2.51,0.15,1.09
GBSM,64,659,213,375,270,2978,0.8664995299,2.54,0.17,1.09
GBSM,62,444,240,416,287,3388,0.8676957001,2.45,0.15,1.10
GBSM,61,658,211,384,256,3090,0.8721599515,2.27,0.16,1.29
GBSM,58,452,249,433,295,3611,0.870984456,2.77,0.16,0.83
GBSM,57,591,289,490,292,3138,0.8313393639,2.53,0.14,1.19
GBSM,57,452,252,435,290,3622,0.8699019102,2.71,0.16,1.12
GBSM,56,591,268,456,281,3221,0.8463743193,2.56,0.14,1.27
GBSM,48,535,240,432,279,3211,0.8609098812,2.79,0.13,0.93
GBSM,46,535,230,403,280,2930,0.8544303797,2.77,0.17,1.13
GBSM,45,465,242,411,287,3458,0.8691891892,2.71,0.16,0.98
GBSM,44,465,241,403,280,3526,0.8720467215,2.89,0.17,0.79
GBSM,43,648,238,421,279,3485,0.8721461187,2.57,0.16,1.24
GBSM,42,648,234,420,285,3477,0.8738884398,2.33,0.14,1.30
GBSM,42,613,227,402,277,3350,0.8730779983,2.85,0.18,1.17
GBSM,42,570,244,411,290,3639,0.8743239763,2.80,0.14,1.38
GBSM,41,612,219,391,273,3293,0.875284738,2.50,0.16,1.61
GBSM,40,570,240,412,289,3593,0.8747717193,2.93,0.18,1.14
GBSM,35,633,243,436,270,3296,0.8626730715,3.07,0.17,1.55
GBSM,35,531,243,408,278,3287,0.8623229462,2.24,0.17,0.96
GBSM,34,633,236,429,275,3356,0.868596882,2.94,0.20,1.28
GBSM,33,531,245,403,286,3314,0.8623208766,2.40,0.16,1.21
GBSM,33,545,226,383,284,3263,0.8704499857,2.91,0.17,1.20
GBSM,31,544,226,395,291,3356,0.873813512,2.59,0.17,1.29
